x,y,theta
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0022689280275924872
0.0,0.0,0.0022689280275924872
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0010471975511974208
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,6.28213810962839
0.0,0.0,6.28213810962839
0.0,0.0,6.28213810962839
0.0,0.0,6.28213810962839
0.0,0.0,6.281090912077193
0.0,0.0,6.281090912077193
0.0,0.0,6.281090912077193
0.0,0.0,6.277774786498404
0.0,0.0,6.277774786498404
0.0,0.0,6.272364265817222
0.0,0.0,6.269048140238432
0.0,0.0,6.26677921221084
0.0,0.0,6.26677921221084
0.0,0.0,6.26363761955725
0.0,0.0,6.2592742964272645
0.0,0.0,6.255958170848475
0.0,0.0,6.252642045269686
0.0,0.0,6.249325919690897
0.0,0.0,6.253689242820882
0.0,0.0,6.255958170848475
0.0,0.0,6.252642045269686
0.0,0.0,6.2482787221397
0.0,0.0,6.242868201458518
